id,kode_provinsi,nama_provinsi,indeks_kerukunan,satuan,tahun
1,11,ACEH,57.51,POIN,2021
2,12,SUMATERA UTARA,75.52,POIN,2021
3,13,SUMATERA BARAT,67.87,POIN,2021
4,14,RIAU,66.67,POIN,2021
5,15,JAMBI,70.4,POIN,2021
6,16,SUMATERA SELATAN,68.79,POIN,2021
7,17,BENGKULU,70.27,POIN,2021
8,18,LAMPUNG,72.44,POIN,2021
9,19,KEPULAUAN BANGKA BELITUNG,69.48,POIN,2021
10,21,KEPULAUAN RIAU,76.2,POIN,2021
11,31,DKI JAKARTA,70.28,POIN,2021
12,32,JAWA BARAT,70.52,POIN,2021
13,33,JAWA TENGAH,75.12,POIN,2021
14,34,DI YOGYAKARTA,76.03,POIN,2021
15,35,JAWA TIMUR,73.57,POIN,2021
16,36,BANTEN,66.11,POIN,2021
17,51,BALI,77.95,POIN,2021
18,52,NUSA TENGGARA BARAT,67.11,POIN,2021
19,53,NUSA TENGGARA TIMUR,81.07,POIN,2021
20,61,KALIMANTAN BARAT,77.61,POIN,2021
21,62,KALIMANTAN TENGAH,76.29,POIN,2021
22,63,KALIMANTAN SELATAN,65.66,POIN,2021
23,64,KALIMANTAN TIMUR,74.74,POIN,2021
24,65,KALIMANTAN UTARA,75.63,POIN,2021
25,71,SULAWESI UTARA,79.29,POIN,2021
26,72,SULAWESI TENGAH,75.11,POIN,2021
27,73,SULAWESI SELATAN,74.31,POIN,2021
28,74,SULAWESI TENGGARA,73.92,POIN,2021
29,75,GORONTALO,68.74,POIN,2021
30,76,SULAWESI BARAT,74.62,POIN,2021
31,81,MALUKU,76.3,POIN,2021
32,82,MALUKU UTARA,70.89,POIN,2021
33,91,PAPUA BARAT,78.63,POIN,2021
34,94,PAPUA,80.2,POIN,2021
35,11,ACEH,65.87,POIN,2022
36,12,SUMATERA UTARA,74.96,POIN,2022
37,13,SUMATERA BARAT,63.42,POIN,2022
38,14,RIAU,74.32,POIN,2022
39,15,JAMBI,67.44,POIN,2022
40,16,SUMATERA SELATAN,67.05,POIN,2022
41,17,BENGKULU,69.88,POIN,2022
42,18,LAMPUNG,72.07,POIN,2022
43,19,KEPULAUAN BANGKA BELITUNG,74.97,POIN,2022
44,21,KEPULAUAN RIAU,85.78,POIN,2022
45,31,DKI JAKARTA,72.62,POIN,2022
46,32,JAWA BARAT,72.21,POIN,2022
47,33,JAWA TENGAH,74.28,POIN,2022
48,34,DI YOGYAKARTA,78.89,POIN,2022
49,35,JAWA TIMUR,72.32,POIN,2022
50,36,BANTEN,68.92,POIN,2022
51,51,BALI,76.43,POIN,2022
52,52,NUSA TENGGARA BARAT,70.84,POIN,2022
53,53,NUSA TENGGARA TIMUR,83.93,POIN,2022
54,61,KALIMANTAN BARAT,79.11,POIN,2022
55,62,KALIMANTAN TENGAH,76.74,POIN,2022
56,63,KALIMANTAN SELATAN,69.68,POIN,2022
57,64,KALIMANTAN TIMUR,74.23,POIN,2022
58,65,KALIMANTAN UTARA,80.95,POIN,2022
59,71,SULAWESI UTARA,77.11,POIN,2022
60,72,SULAWESI TENGAH,77.36,POIN,2022
61,73,SULAWESI SELATAN,75.44,POIN,2022
62,74,SULAWESI TENGGARA,74.11,POIN,2022
63,75,GORONTALO,72.29,POIN,2022
64,76,SULAWESI BARAT,75.77,POIN,2022
65,81,MALUKU,79.94,POIN,2022
66,82,MALUKU UTARA,58.79,POIN,2022
67,91,PAPUA BARAT,79.78,POIN,2022
68,94,PAPUA,78.55,POIN,2022
69,11,ACEH,73.09,POIN,2023
70,12,SUMATERA UTARA,77.61,POIN,2023
71,13,SUMATERA BARAT,71.58,POIN,2023
72,14,RIAU,71.6,POIN,2023
73,15,JAMBI,65.17,POIN,2023
74,16,SUMATERA SELATAN,77.32,POIN,2023
75,17,BENGKULU,74.55,POIN,2023
76,18,LAMPUNG,73.35,POIN,2023
77,19,KEPULAUAN BANGKA BELITUNG,75.92,POIN,2023
78,21,KEPULAUAN RIAU,83.58,POIN,2023
79,31,DKI JAKARTA,76.47,POIN,2023
80,32,JAWA BARAT,74.1,POIN,2023
81,33,JAWA TENGAH,77.9,POIN,2023
82,34,DI YOGYAKARTA,79.56,POIN,2023
83,35,JAWA TIMUR,77.55,POIN,2023
84,36,BANTEN,70.05,POIN,2023
85,51,BALI,82.38,POIN,2023
86,52,NUSA TENGGARA BARAT,71.99,POIN,2023
87,53,NUSA TENGGARA TIMUR,85.64,POIN,2023
88,61,KALIMANTAN BARAT,79.01,POIN,2023
89,62,KALIMANTAN TENGAH,79.68,POIN,2023
90,63,KALIMANTAN SELATAN,73.53,POIN,2023
91,64,KALIMANTAN TIMUR,77.08,POIN,2023
92,65,KALIMANTAN UTARA,78.64,POIN,2023
93,71,SULAWESI UTARA,81.18,POIN,2023
94,72,SULAWESI TENGAH,81.64,POIN,2023
95,73,SULAWESI SELATAN,76.95,POIN,2023
96,74,SULAWESI TENGGARA,76.39,POIN,2023
97,75,GORONTALO,75.49,POIN,2023
98,76,SULAWESI BARAT,73.25,POIN,2023
99,81,MALUKU,75.34,POIN,2023
100,82,MALUKU UTARA,77.46,POIN,2023
101,91,PAPUA BARAT,75.79,POIN,2023
102,94,PAPUA,75.72,POIN,2023
103,11,ACEH,69.79,POIN,2024
104,12,SUMATERA UTARA,80.88,POIN,2024
105,13,SUMATERA BARAT,70.87,POIN,2024
106,14,RIAU,84.23,POIN,2024
107,15,JAMBI,69.24,POIN,2024
108,16,SUMATERA SELATAN,76.82,POIN,2024
109,17,BENGKULU,73.4,POIN,2024
110,18,LAMPUNG,74.03,POIN,2024
111,19,KEPULAUAN BANGKA BELITUNG,72.46,POIN,2024
112,21,KEPULAUAN RIAU,82.21,POIN,2024
113,31,DKI JAKARTA,76.15,POIN,2024
114,32,JAWA BARAT,73.43,POIN,2024
115,33,JAWA TENGAH,78.98,POIN,2024
116,34,DI YOGYAKARTA,78.73,POIN,2024
117,35,JAWA TIMUR,76.32,POIN,2024
118,36,BANTEN,70.24,POIN,2024
119,51,BALI,81.77,POIN,2024
120,52,NUSA TENGGARA BARAT,71.4,POIN,2024
121,53,NUSA TENGGARA TIMUR,84.25,POIN,2024
122,61,KALIMANTAN BARAT,79.52,POIN,2024
123,62,KALIMANTAN TENGAH,78.47,POIN,2024
124,63,KALIMANTAN SELATAN,74.01,POIN,2024
125,64,KALIMANTAN TIMUR,78.19,POIN,2024
126,65,KALIMANTAN UTARA,78.94,POIN,2024
127,71,SULAWESI UTARA,81.33,POIN,2024
128,72,SULAWESI TENGAH,78.93,POIN,2024
129,73,SULAWESI SELATAN,79.04,POIN,2024
130,74,SULAWESI TENGGARA,78.31,POIN,2024
131,75,GORONTALO,72.71,POIN,2024
132,76,SULAWESI BARAT,77.9,POIN,2024
133,81,MALUKU,80.54,POIN,2024
134,82,MALUKU UTARA,72.88,POIN,2024
135,91,PAPUA BARAT,77.5,POIN,2024
136,94,PAPUA,80.88,POIN,2024
