id,kode_provinsi,nama_provinsi,wilayah_pengadilan_agama,faktor_penyebab,jumlah_perceraian,satuan,tahun
1,32,JAWA BARAT,BANDUNG,MABUK,11.0,KASUS,2017
2,32,JAWA BARAT,BANDUNG,JUDI,1.0,KASUS,2017
3,32,JAWA BARAT,BANDUNG,MENINGGALKAN SALAH SATU,504.0,KASUS,2017
4,32,JAWA BARAT,BANDUNG,POLIGAMI,112.0,KASUS,2017
5,32,JAWA BARAT,BANDUNG,KEKERASAN DALAM RUMAH TANGGA,39.0,KASUS,2017
6,32,JAWA BARAT,BANDUNG,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,3102.0,KASUS,2017
7,32,JAWA BARAT,BANDUNG,KAWIN PAKSA,338.0,KASUS,2017
8,32,JAWA BARAT,BANDUNG,EKONOMI,1313.0,KASUS,2017
9,32,JAWA BARAT,BEKASI,ZINA,3.0,KASUS,2017
10,32,JAWA BARAT,BEKASI,MABUK,5.0,KASUS,2017
11,32,JAWA BARAT,BEKASI,MENINGGALKAN SALAH SATU,124.0,KASUS,2017
12,32,JAWA BARAT,BEKASI,DIHUKUM PENJARA,2.0,KASUS,2017
13,32,JAWA BARAT,BEKASI,POLIGAMI,122.0,KASUS,2017
14,32,JAWA BARAT,BEKASI,KEKERASAN DALAM RUMAH TANGGA,13.0,KASUS,2017
15,32,JAWA BARAT,BEKASI,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,245.0,KASUS,2017
16,32,JAWA BARAT,BEKASI,MURTAD,9.0,KASUS,2017
17,32,JAWA BARAT,BEKASI,EKONOMI,120.0,KASUS,2017
18,32,JAWA BARAT,BOGOR,MENINGGALKAN SALAH SATU,135.0,KASUS,2017
19,32,JAWA BARAT,BOGOR,DIHUKUM PENJARA,1.0,KASUS,2017
20,32,JAWA BARAT,BOGOR,POLIGAMI,1.0,KASUS,2017
21,32,JAWA BARAT,BOGOR,KEKERASAN DALAM RUMAH TANGGA,5.0,KASUS,2017
