id,kode_provinsi,nama_provinsi,indeks_daya_saing_digital,satuan,tahun
1,11,ACEH,27.3,POIN,2020
2,12,SUMATERA UTARA,31.3,POIN,2020
3,13,SUMATERA BARAT,31.0,POIN,2020
4,14,RIAU,28.7,POIN,2020
5,15,JAMBI,27.0,POIN,2020
6,16,SUMATERA SELATAN,27.8,POIN,2020
7,17,BENGKULU,25.1,POIN,2020
8,18,LAMPUNG,26.8,POIN,2020
9,19,KEPULAUAN BANGKA BELITUNG,27.7,POIN,2020
10,21,KEPULAUAN RIAU,35.9,POIN,2020
11,31,DKI JAKARTA,79.7,POIN,2020
12,32,JAWA BARAT,55.0,POIN,2020
13,33,JAWA TENGAH,42.6,POIN,2020
14,34,DI YOGYAKARTA,46.7,POIN,2020
15,35,JAWA TIMUR,49.7,POIN,2020
16,36,BANTEN,44.8,POIN,2020
17,51,BALI,40.6,POIN,2020
18,52,NUSA TENGGARA BARAT,26.7,POIN,2020
19,53,NUSA TENGGARA TIMUR,23.7,POIN,2020
20,61,KALIMANTAN BARAT,27.4,POIN,2020
21,62,KALIMANTAN TENGAH,23.6,POIN,2020
22,63,KALIMANTAN SELATAN,30.7,POIN,2020
23,64,KALIMANTAN TIMUR,37.9,POIN,2020
24,65,KALIMANTAN UTARA,34.1,POIN,2020
25,71,SULAWESI UTARA,30.2,POIN,2020
26,72,SULAWESI TENGAH,25.3,POIN,2020
27,73,SULAWESI SELATAN,36.2,POIN,2020
28,74,SULAWESI TENGGARA,26.6,POIN,2020
29,75,GORONTALO,27.5,POIN,2020
30,76,SULAWESI BARAT,21.1,POIN,2020
31,81,MALUKU,26.3,POIN,2020
32,82,MALUKU UTARA,28.1,POIN,2020
33,91,PAPUA BARAT,26.2,POIN,2020
34,94,PAPUA,17.7,POIN,2020
35,11,ACEH,29.4,POIN,2021
36,12,SUMATERA UTARA,34.2,POIN,2021
37,13,SUMATERA BARAT,34.5,POIN,2021
38,14,RIAU,32.1,POIN,2021
39,15,JAMBI,30.9,POIN,2021
40,16,SUMATERA SELATAN,30.8,POIN,2021
41,17,BENGKULU,31.3,POIN,2021
42,18,LAMPUNG,29.6,POIN,2021
43,19,KEPULAUAN BANGKA BELITUNG,29.8,POIN,2021
44,21,KEPULAUAN RIAU,43.0,POIN,2021
45,31,DKI JAKARTA,77.6,POIN,2021
46,32,JAWA BARAT,57.1,POIN,2021
47,33,JAWA TENGAH,42.6,POIN,2021
48,34,DI YOGYAKARTA,47.5,POIN,2021
49,35,JAWA TIMUR,48.0,POIN,2021
50,36,BANTEN,47.7,POIN,2021
51,51,BALI,47.7,POIN,2021
52,52,NUSA TENGGARA BARAT,30.7,POIN,2021
53,53,NUSA TENGGARA TIMUR,29.3,POIN,2021
54,61,KALIMANTAN BARAT,26.6,POIN,2021
55,62,KALIMANTAN TENGAH,29.4,POIN,2021
56,63,KALIMANTAN SELATAN,32.6,POIN,2021
57,64,KALIMANTAN TIMUR,39.5,POIN,2021
58,65,KALIMANTAN UTARA,32.8,POIN,2021
59,71,SULAWESI UTARA,35.9,POIN,2021
